Dataset,Side,Model,round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
Dataset_1,Left,PointNet,964,20,40,10,4,0.8108,0.8333,0.8,0.7407,0.8517
Dataset_1,Left,PointNet,965,17,42,6,9,0.7973,0.6538,0.875,0.6939,0.7572
Dataset_1,Left,PointNet,966,23,38,6,7,0.8243,0.7667,0.8636,0.7797,0.8803
Dataset_1,Left,PointNet,967,23,38,9,4,0.8243,0.8519,0.8085,0.7797,0.8834
Dataset_1,Left,PointNet,968,23,36,10,5,0.7973,0.8214,0.7826,0.7541,0.8377
Dataset_1,Left,PointNet,969,14,43,12,5,0.7703,0.7368,0.7818,0.6222,0.7713
Dataset_1,Left,PointNet,970,19,48,5,2,0.9054,0.9048,0.9057,0.8444,0.9209
Dataset_1,Left,PointNet,971,21,42,6,5,0.8514,0.8077,0.875,0.7925,0.8566
Dataset_1,Left,PointNet,972,24,37,10,3,0.8243,0.8889,0.7872,0.7869,0.9188
Dataset_1,Left,PointNet,973,25,38,5,6,0.8514,0.8065,0.8837,0.8197,0.8822
Dataset_1,Left,PointNet,974,14,46,6,8,0.8108,0.6364,0.8846,0.6667,0.7605
Dataset_1,Left,PointNet,975,16,46,6,6,0.8378,0.7273,0.8846,0.7273,0.7893
Dataset_1,Left,PointNet,976,20,45,2,7,0.8784,0.7407,0.9574,0.8163,0.8779
Dataset_1,Left,PointNet,977,18,39,7,10,0.7703,0.6429,0.8478,0.6792,0.7655
Dataset_1,Left,PointNet,978,25,35,5,9,0.8108,0.7353,0.875,0.7812,0.8015
Dataset_1,Left,PointNet,979,24,33,10,7,0.7703,0.7742,0.7674,0.7385,0.8425
Dataset_1,Left,PointNet,980,21,40,8,5,0.8243,0.8077,0.8333,0.7636,0.867
Dataset_1,Left,PointNet,981,12,45,12,5,0.7703,0.7059,0.7895,0.5854,0.8204
Dataset_1,Left,PointNet,982,26,31,9,8,0.7703,0.7647,0.775,0.7536,0.7904
Dataset_1,Left,PointNet,983,15,45,6,8,0.8108,0.6522,0.8824,0.6818,0.8193
Dataset_1,Left,PointNet,984,21,46,3,4,0.9054,0.84,0.9388,0.8571,0.9265
Dataset_1,Left,PointNet,985,17,44,9,4,0.8243,0.8095,0.8302,0.7234,0.8302
Dataset_1,Left,PointNet,986,14,44,7,9,0.7838,0.6087,0.8627,0.6364,0.7613
Dataset_1,Left,PointNet,987,22,37,4,11,0.7973,0.6667,0.9024,0.7458,0.8367
Dataset_1,Left,PointNet,988,14,43,9,8,0.7703,0.6364,0.8269,0.6222,0.771
Dataset_1,Left,PointNet,989,16,44,10,4,0.8108,0.8,0.8148,0.6957,0.8435
Dataset_1,Left,PointNet,990,18,39,10,7,0.7703,0.72,0.7959,0.6792,0.7951
Dataset_1,Left,PointNet,991,26,41,5,2,0.9054,0.9286,0.8913,0.8814,0.9138
Dataset_1,Left,PointNet,992,22,40,6,6,0.8378,0.7857,0.8696,0.7857,0.8998
Dataset_1,Left,PointNet,993,18,40,4,12,0.7838,0.6,0.9091,0.6923,0.7765
Dataset_1,Left,PointNet,994,17,44,9,4,0.8243,0.8095,0.8302,0.7234,0.823
Dataset_1,Left,PointNet,995,26,36,6,6,0.8378,0.8125,0.8571,0.8125,0.785
Dataset_1,Left,PointNet,996,15,42,9,8,0.7703,0.6522,0.8235,0.6383,0.7366
Dataset_1,Left,PointNet,997,19,46,5,4,0.8784,0.8261,0.902,0.8085,0.9395
Dataset_1,Left,PointNet,998,22,44,4,4,0.8919,0.8462,0.9167,0.8462,0.8974
Dataset_1,Left,PointNet,999,20,40,10,4,0.8108,0.8333,0.8,0.7407,0.8392
Dataset_1,Left,PointNet,1000,21,42,4,7,0.8514,0.75,0.913,0.7925,0.8191
