Dataset,Side,Model,Class,Accuracy,Precision,Recall,F1_Score,Mean_SD,Support,ROC_AUC
Ds004469,Right,ResNet (AutoEncoder),Class 0: Healthy Control,81.82%,90.00%,90.00%,90.00%,82.02% ± 11.63%,10,0.5000
Ds004469,Right,ResNet (AutoEncoder),Class 1: Epilepsy (TLE),81.82%,0.00%,0.00%,0.00%,82.02% ± 11.63%,1,0.5000
Ds004469,Right,ResNet (AutoEncoder),Overall / Macro Avg,81.82%,45.00%,45.00%,45.00%,82.02% ± 11.63%,11,0.5000
Ds004469,Right,MobileNet,Class 0: Healthy Control,81.82%,90.00%,90.00%,90.00%,81.83% ± 11.73%,10,0.9000
Ds004469,Right,MobileNet,Class 1: Epilepsy (TLE),81.82%,0.00%,0.00%,0.00%,81.83% ± 11.73%,1,0.9000
Ds004469,Right,MobileNet,Overall / Macro Avg,81.82%,45.00%,45.00%,45.00%,81.83% ± 11.73%,11,0.9000
Ds004469,Right,SqueezeNet,Class 0: Healthy Control,81.82%,90.00%,90.00%,90.00%,82.11% ± 11.45%,10,0.5000
Ds004469,Right,SqueezeNet,Class 1: Epilepsy (TLE),81.82%,0.00%,0.00%,0.00%,82.11% ± 11.45%,1,0.5000
Ds004469,Right,SqueezeNet,Overall / Macro Avg,81.82%,45.00%,45.00%,45.00%,82.11% ± 11.45%,11,0.5000
Ds004469,Right,PointNet,Class 0: Healthy Control,90.91%,90.91%,100.00%,95.24%,91.15% ± 8.55%,10,0.6000
Ds004469,Right,PointNet,Class 1: Epilepsy (TLE),90.91%,0.00%,0.00%,0.00%,91.15% ± 8.55%,1,0.6000
Ds004469,Right,PointNet,Overall / Macro Avg,90.91%,45.45%,50.00%,47.62%,91.15% ± 8.55%,11,0.6000
