Metric,Dataset,Side,Model_A,Model_B,Mean_Value_A,Mean_Value_B,P-Value,Significant
Accuracy,Ds004469,right,SqueezeNet,SVM,0.822,0.822,1.0,No
AUC,All_Augment_tain,left,MLP,MobileNet,0.8952,0.9011,1.574128558721966e-31,Yes (p<0.01)
AUC,All_Augment_tain,left,MLP,PointNet,0.8952,0.8237,0.0,Yes (p<0.01)
AUC,All_Augment_tain,left,MLP,ResNet+AE,0.8952,0.8934,0.00013630695771740765,Yes (p<0.01)
AUC,All_Augment_tain,left,MLP,ResNet,0.8952,0.8964,0.01663242315886204,Yes (p<0.05)
AUC,All_Augment_tain,left,MLP,SqueezeNet,0.8952,0.8777,4.404047608821295e-165,Yes (p<0.01)
AUC,All_Augment_tain,left,MLP,SVM,0.8952,0.9144,2.626352082791514e-54,Yes (p<0.01)
AUC,All_Augment_tain,left,MobileNet,PointNet,0.9011,0.8237,3.8228574622581676e-297,Yes (p<0.01)
AUC,All_Augment_tain,left,MobileNet,ResNet+AE,0.9011,0.8934,8.452957289714803e-159,Yes (p<0.01)
AUC,All_Augment_tain,left,MobileNet,ResNet,0.9011,0.8964,1.3606340568044659e-58,Yes (p<0.01)
AUC,All_Augment_tain,left,MobileNet,SqueezeNet,0.9011,0.8777,0.0,Yes (p<0.01)
AUC,All_Augment_tain,left,MobileNet,SVM,0.9011,0.9144,1.2051369726618497e-28,Yes (p<0.01)
AUC,All_Augment_tain,left,PointNet,ResNet+AE,0.8237,0.8934,5.270458386591856e-284,Yes (p<0.01)
AUC,All_Augment_tain,left,PointNet,ResNet,0.8237,0.8964,1.1534294935920394e-283,Yes (p<0.01)
AUC,All_Augment_tain,left,PointNet,SqueezeNet,0.8237,0.8777,5.067882726717524e-219,Yes (p<0.01)
AUC,All_Augment_tain,left,PointNet,SVM,0.8237,0.9144,0.0,Yes (p<0.01)
AUC,All_Augment_tain,left,ResNet+AE,ResNet,0.8934,0.8964,6.699560935562847e-34,Yes (p<0.01)
AUC,All_Augment_tain,left,ResNet+AE,SqueezeNet,0.8934,0.8777,3.13205203125933e-285,Yes (p<0.01)
AUC,All_Augment_tain,left,ResNet+AE,SVM,0.8934,0.9144,3.891031518867781e-65,Yes (p<0.01)
AUC,All_Augment_tain,left,ResNet,SqueezeNet,0.8964,0.8777,1.6057070470917455e-288,Yes (p<0.01)
AUC,All_Augment_tain,left,ResNet,SVM,0.8964,0.9144,2.8995557483029834e-48,Yes (p<0.01)
AUC,All_Augment_tain,left,SqueezeNet,SVM,0.8777,0.9144,2.2926002693967476e-137,Yes (p<0.01)
AUC,All_Augment_tain,right,MLP,MobileNet,0.8487,0.8778,9.960683406559352e-129,Yes (p<0.01)
AUC,All_Augment_tain,right,MLP,PointNet,0.8487,0.8208,9.194771333739191e-43,Yes (p<0.01)
AUC,All_Augment_tain,right,MLP,ResNet+AE,0.8487,0.8751,1.6305824024326568e-122,Yes (p<0.01)
AUC,All_Augment_tain,right,MLP,ResNet,0.8487,0.8527,0.0021862030317644143,Yes (p<0.01)
AUC,All_Augment_tain,right,MLP,SqueezeNet,0.8487,0.8472,0.22160880573611486,No
AUC,All_Augment_tain,right,MLP,SVM,0.8487,0.8505,0.20554799753324163,No
AUC,All_Augment_tain,right,MobileNet,PointNet,0.8778,0.8208,4.261380565367066e-169,Yes (p<0.01)
AUC,All_Augment_tain,right,MobileNet,ResNet+AE,0.8778,0.8751,1.3275947916727351e-14,Yes (p<0.01)
AUC,All_Augment_tain,right,MobileNet,ResNet,0.8778,0.8527,2.9181128317957306e-121,Yes (p<0.01)
AUC,All_Augment_tain,right,MobileNet,SqueezeNet,0.8778,0.8472,1.182064389836066e-183,Yes (p<0.01)
AUC,All_Augment_tain,right,MobileNet,SVM,0.8778,0.8505,1.0005788207223716e-118,Yes (p<0.01)
AUC,All_Augment_tain,right,PointNet,ResNet+AE,0.8208,0.8751,1.0652349367607081e-164,Yes (p<0.01)
AUC,All_Augment_tain,right,PointNet,ResNet,0.8208,0.8527,5.823685560117552e-48,Yes (p<0.01)
AUC,All_Augment_tain,right,PointNet,SqueezeNet,0.8208,0.8472,7.801066323060897e-43,Yes (p<0.01)
AUC,All_Augment_tain,right,PointNet,SVM,0.8208,0.8505,2.8468835495000004e-49,Yes (p<0.01)
AUC,All_Augment_tain,right,ResNet+AE,ResNet,0.8751,0.8527,1.4996410964418144e-123,Yes (p<0.01)
AUC,All_Augment_tain,right,ResNet+AE,SqueezeNet,0.8751,0.8472,3.5107846037456533e-178,Yes (p<0.01)
AUC,All_Augment_tain,right,ResNet+AE,SVM,0.8751,0.8505,8.176247277394978e-128,Yes (p<0.01)
AUC,All_Augment_tain,right,ResNet,SqueezeNet,0.8527,0.8472,5.53762274268973e-12,Yes (p<0.01)
AUC,All_Augment_tain,right,ResNet,SVM,0.8527,0.8505,0.007261937823818125,Yes (p<0.01)
AUC,All_Augment_tain,right,SqueezeNet,SVM,0.8472,0.8505,0.00760549402155602,Yes (p<0.01)
AUC,Ds005602,left,MLP,MobileNet,0.9559,0.9486,1.389416869687851e-104,Yes (p<0.01)
AUC,Ds005602,left,MLP,PointNet,0.9559,0.9613,1.6965246440927654e-59,Yes (p<0.01)
AUC,Ds005602,left,MLP,ResNet+AE,0.9559,0.9515,1.1847478759219027e-81,Yes (p<0.01)
AUC,Ds005602,left,MLP,ResNet,0.9559,0.9485,1.227984621623497e-127,Yes (p<0.01)
AUC,Ds005602,left,MLP,SqueezeNet,0.9559,0.9531,1.032682206152344e-68,Yes (p<0.01)
AUC,Ds005602,left,MLP,SVM,0.9559,0.9386,1.6903683957954447e-211,Yes (p<0.01)
AUC,Ds005602,left,MobileNet,PointNet,0.9486,0.9613,3.979958628062373e-186,Yes (p<0.01)
AUC,Ds005602,left,MobileNet,ResNet+AE,0.9486,0.9515,7.796587999321986e-43,Yes (p<0.01)
AUC,Ds005602,left,MobileNet,ResNet,0.9486,0.9485,0.7617722305241698,No
AUC,Ds005602,left,MobileNet,SqueezeNet,0.9486,0.9531,1.4532070594475869e-67,Yes (p<0.01)
