Metric,Dataset,Side,Model_A,Model_B,Mean_Value_A,Mean_Value_B,P-Value,Significant
Accuracy,Ds005602,left,MLP,ResNet+AE,0.8092,0.7263,0.0,Yes (p<0.01)
Accuracy,Ds005602,left,MLP,ResNet,0.8092,0.7861,1.0320864268290239e-75,Yes (p<0.01)
Accuracy,Ds005602,left,MLP,SVM,0.8092,0.7633,1.0257364283749922e-201,Yes (p<0.01)
Accuracy,Ds005602,left,MobileNet,ResNet+AE,0.7492,0.7263,6.854625752352983e-111,Yes (p<0.01)
Accuracy,Ds005602,left,MobileNet,ResNet,0.7492,0.7861,1.2947424828308828e-235,Yes (p<0.01)
Accuracy,Ds005602,left,MobileNet,SVM,0.7492,0.7633,3.132331558894946e-40,Yes (p<0.01)
Accuracy,Ds005602,left,ResNet+AE,ResNet,0.7263,0.7861,0.0,Yes (p<0.01)
Accuracy,Ds005602,left,ResNet+AE,SVM,0.7263,0.7633,8.482010612262647e-305,Yes (p<0.01)
Accuracy,Ds005602,left,ResNet,SVM,0.7861,0.7633,5.853254899376785e-106,Yes (p<0.01)
Accuracy,Ds005602,right,MLP,MobileNet,0.9186,0.8951,2.4068456342232397e-242,Yes (p<0.01)
Accuracy,Ds005602,right,MLP,ResNet+AE,0.9186,0.8952,1.2330467787166315e-240,Yes (p<0.01)
Accuracy,Ds005602,right,MLP,ResNet,0.9186,0.8831,1.5181898879894963e-301,Yes (p<0.01)
Accuracy,Ds005602,right,MLP,SVM,0.9186,0.9072,3.679289594017522e-152,Yes (p<0.01)
Accuracy,Ds005602,right,MobileNet,ResNet+AE,0.8951,0.8952,0.7712598115369185,No
Accuracy,Ds005602,right,MobileNet,ResNet,0.8951,0.8831,1.0343115183976696e-155,Yes (p<0.01)
Accuracy,Ds005602,right,MobileNet,SVM,0.8951,0.9072,2.3529533911146147e-155,Yes (p<0.01)
Accuracy,Ds005602,right,ResNet+AE,ResNet,0.8952,0.8831,2.6113421385095437e-155,Yes (p<0.01)
Accuracy,Ds005602,right,ResNet+AE,SVM,0.8952,0.9072,9.661700616052954e-156,Yes (p<0.01)
Accuracy,Ds005602,right,ResNet,SVM,0.8831,0.9072,1.4754481112626334e-240,Yes (p<0.01)
AUC,All_Augment_tain,left,MLP,MobileNet,0.8415,0.8501,1.6504716147558236e-38,Yes (p<0.01)
AUC,All_Augment_tain,left,MLP,ResNet+AE,0.8415,0.8242,1.413983383799806e-188,Yes (p<0.01)
AUC,All_Augment_tain,left,MLP,ResNet,0.8415,0.8336,4.773152553009696e-81,Yes (p<0.01)
AUC,All_Augment_tain,left,MLP,SVM,0.8415,0.8613,1.447443741125405e-227,Yes (p<0.01)
AUC,All_Augment_tain,left,MobileNet,ResNet+AE,0.8501,0.8242,4.568411490929064e-257,Yes (p<0.01)
AUC,All_Augment_tain,left,MobileNet,ResNet,0.8501,0.8336,1.3094178034476761e-108,Yes (p<0.01)
AUC,All_Augment_tain,left,MobileNet,SVM,0.8501,0.8613,1.452174341987912e-79,Yes (p<0.01)
AUC,All_Augment_tain,left,ResNet+AE,ResNet,0.8242,0.8336,5.075945258519805e-68,Yes (p<0.01)
AUC,All_Augment_tain,left,ResNet+AE,SVM,0.8242,0.8613,0.0,Yes (p<0.01)
AUC,All_Augment_tain,left,ResNet,SVM,0.8336,0.8613,1.740702438427914e-306,Yes (p<0.01)
AUC,All_Augment_tain,right,MLP,MobileNet,0.8545,0.8702,4.262489260591284e-61,Yes (p<0.01)
AUC,All_Augment_tain,right,MLP,ResNet+AE,0.8545,0.8434,3.8832497801673207e-53,Yes (p<0.01)
AUC,All_Augment_tain,right,MLP,ResNet,0.8545,0.8622,3.2485420550181374e-30,Yes (p<0.01)
AUC,All_Augment_tain,right,MLP,SVM,0.8545,0.8556,0.1899175965615319,No
AUC,All_Augment_tain,right,MobileNet,ResNet+AE,0.8702,0.8434,1.9971005112588264e-252,Yes (p<0.01)
AUC,All_Augment_tain,right,MobileNet,ResNet,0.8702,0.8622,1.4599964452635712e-73,Yes (p<0.01)
AUC,All_Augment_tain,right,MobileNet,SVM,0.8702,0.8556,6.068492676910278e-135,Yes (p<0.01)
AUC,All_Augment_tain,right,ResNet+AE,ResNet,0.8434,0.8622,4.888222286806795e-224,Yes (p<0.01)
AUC,All_Augment_tain,right,ResNet+AE,SVM,0.8434,0.8556,1.878223838450377e-166,Yes (p<0.01)
AUC,All_Augment_tain,right,ResNet,SVM,0.8622,0.8556,1.27738746199675e-40,Yes (p<0.01)
AUC,Ds005602,left,MLP,MobileNet,0.8292,0.8526,6.682374574063611e-118,Yes (p<0.01)
AUC,Ds005602,left,MLP,ResNet+AE,0.8292,0.8307,0.0121854520454002,Yes (p<0.05)
AUC,Ds005602,left,MLP,ResNet,0.8292,0.8541,1.821797768720089e-198,Yes (p<0.01)
AUC,Ds005602,left,MLP,SVM,0.8292,0.8492,6.503866400117678e-125,Yes (p<0.01)
AUC,Ds005602,left,MobileNet,ResNet+AE,0.8526,0.8307,1.0855313326311248e-127,Yes (p<0.01)
AUC,Ds005602,left,MobileNet,ResNet,0.8526,0.8541,0.0040988266215368,Yes (p<0.01)
AUC,Ds005602,left,MobileNet,SVM,0.8526,0.8492,4.7388485096461124e-08,Yes (p<0.01)
AUC,Ds005602,left,ResNet+AE,ResNet,0.8307,0.8541,1.5388745879983633e-221,Yes (p<0.01)
AUC,Ds005602,left,ResNet+AE,SVM,0.8307,0.8492,9.355259977152352e-155,Yes (p<0.01)
AUC,Ds005602,left,ResNet,SVM,0.8541,0.8492,4.345954885734128e-18,Yes (p<0.01)
AUC,Ds005602,right,MLP,MobileNet,0.9211,0.9098,1.886719366452512e-101,Yes (p<0.01)
AUC,Ds005602,right,MLP,ResNet+AE,0.9211,0.9175,1.608954576279129e-12,Yes (p<0.01)
