Metric,Dataset,Side,Model_A,Model_B,Mean_Value_A,Mean_Value_B,P-Value,Significant
Specificity_Class1,Dataset_2,Left,MLP,ResNet,0.6651,0.7069,2.4388116965531656e-156,Yes (p<0.01)
Specificity_Class1,Dataset_2,Left,MLP,SqueezeNet,0.6651,0.7479,1.4615931604354905e-220,Yes (p<0.01)
Specificity_Class1,Dataset_2,Left,MLP,SVM,0.6651,0.666,0.3229424975070666,No
Specificity_Class1,Dataset_2,Left,MobileNet,ResNet+AE,0.7048,0.6846,7.000925289219952e-43,Yes (p<0.01)
Specificity_Class1,Dataset_2,Left,MobileNet,ResNet,0.7048,0.7069,0.1713096254353887,No
Specificity_Class1,Dataset_2,Left,MobileNet,SqueezeNet,0.7048,0.7479,2.6831646300860207e-101,Yes (p<0.01)
Specificity_Class1,Dataset_2,Left,MobileNet,SVM,0.7048,0.666,2.448132236920867e-111,Yes (p<0.01)
Specificity_Class1,Dataset_2,Left,ResNet+AE,ResNet,0.6846,0.7069,1.0402958998590656e-76,Yes (p<0.01)
Specificity_Class1,Dataset_2,Left,ResNet+AE,SqueezeNet,0.6846,0.7479,1.1582906226381183e-200,Yes (p<0.01)
Specificity_Class1,Dataset_2,Left,ResNet+AE,SVM,0.6846,0.666,1.7234200971229902e-36,Yes (p<0.01)
Specificity_Class1,Dataset_2,Left,ResNet,SqueezeNet,0.7069,0.7479,8.960909470886853e-98,Yes (p<0.01)
Specificity_Class1,Dataset_2,Left,ResNet,SVM,0.7069,0.666,7.100142868984655e-252,Yes (p<0.01)
Specificity_Class1,Dataset_2,Left,SqueezeNet,SVM,0.7479,0.666,6.191716200366681e-226,Yes (p<0.01)
Specificity_Class1,Dataset_2,Right,MLP,MobileNet,0.779,0.8539,1.5934390560641079e-286,Yes (p<0.01)
Specificity_Class1,Dataset_2,Right,MLP,ResNet+AE,0.779,0.889,0.0,Yes (p<0.01)
Specificity_Class1,Dataset_2,Right,MLP,ResNet,0.779,0.8163,1.5453776105677244e-121,Yes (p<0.01)
Specificity_Class1,Dataset_2,Right,MLP,SqueezeNet,0.779,0.8536,8.218937567124863e-298,Yes (p<0.01)
Specificity_Class1,Dataset_2,Right,MLP,SVM,0.779,0.7789,0.8890385307884402,No
Specificity_Class1,Dataset_2,Right,MobileNet,ResNet+AE,0.8539,0.889,4.62382967389015e-234,Yes (p<0.01)
Specificity_Class1,Dataset_2,Right,MobileNet,ResNet,0.8539,0.8163,7.869401785872454e-156,Yes (p<0.01)
Specificity_Class1,Dataset_2,Right,MobileNet,SqueezeNet,0.8539,0.8536,0.7960752268415437,No
