Dataset,Side,Model,round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
Dataset_1,Right,PointNet,738,16,47,1,11,0.84,0.5926,0.9792,0.7273,0.8326
Dataset_1,Right,PointNet,739,11,53,2,9,0.8533,0.55,0.9636,0.6667,0.7391
Dataset_1,Right,PointNet,740,7,58,2,8,0.8667,0.4667,0.9667,0.5833,0.9111
Dataset_1,Right,PointNet,741,17,46,4,8,0.84,0.68,0.92,0.7391,0.8248
Dataset_1,Right,PointNet,742,17,44,2,12,0.8133,0.5862,0.9565,0.7083,0.8118
Dataset_1,Right,PointNet,743,8,57,1,9,0.8667,0.4706,0.9828,0.6154,0.8296
Dataset_1,Right,PointNet,744,11,53,2,9,0.8533,0.55,0.9636,0.6667,0.8482
Dataset_1,Right,PointNet,745,8,52,1,14,0.8,0.3636,0.9811,0.5161,0.8242
Dataset_1,Right,PointNet,746,12,49,5,9,0.8133,0.5714,0.9074,0.6316,0.7302
Dataset_1,Right,PointNet,747,13,44,4,14,0.76,0.4815,0.9167,0.5909,0.8264
Dataset_1,Right,PointNet,748,16,53,2,4,0.92,0.8,0.9636,0.8421,0.9345
Dataset_1,Right,PointNet,749,7,62,0,6,0.92,0.5385,1.0,0.7,0.9107
Dataset_1,Right,PointNet,750,11,50,3,11,0.8133,0.5,0.9434,0.6111,0.8345
Dataset_1,Right,PointNet,751,10,54,4,7,0.8533,0.5882,0.931,0.6452,0.857
Dataset_1,Right,PointNet,752,13,51,1,10,0.8533,0.5652,0.9808,0.7027,0.8946
Dataset_1,Right,PointNet,753,11,51,1,12,0.8267,0.4783,0.9808,0.6286,0.7784
